Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Coca Cola,2020,1,9358,20079621.29,12399094.36
Sucursal Norte,Fanta,2020,1,1846,3466322.49,2430504.14
Sucursal Norte,Sprite,2020,1,7574,14161312.16,9445554.36
Sucursal Norte,7 Up,2020,1,1012,1502891.88,1002752.88
Sucursal Norte,Pepsi,2020,1,7304,11871368.68,8912781.88
Sucursal Centro,Coca Cola,2020,1,9971,20204224.66,12845061.28
Sucursal Centro,Fanta,2020,1,2107,4145850.21,3124365.69
Sucursal Centro,Sprite,2020,1,7933,15232192.98,12147942.68
Sucursal Centro,7 Up,2020,1,958,1492468.91,1106287.8
Sucursal Centro,Pepsi,2020,1,7608,13574157.64,9341539.65
Sucursal Sur,Coca Cola,2020,1,10818,20436300.19,15333089.87
Sucursal Sur,Fanta,2020,1,1922,3509359.83,2647162.1
Sucursal Sur,Sprite,2020,1,7250,13970190.45,10778335.81
Sucursal Sur,7 Up,2020,1,1010,1389524.82,964717.8
Sucursal Sur,Pepsi,2020,1,7230,11886125.17,8031872.68
Sucursal Norte,Coca Cola,2020,2,10228,20432402.56,13275748.13
Sucursal Norte,Fanta,2020,2,1834,2993113.26,1941017.23
Sucursal Norte,Sprite,2020,2,8187,14588823.04,10175607.33
Sucursal Norte,7 Up,2020,2,1065,1611190.62,1231434.89
Sucursal Norte,Pepsi,2020,2,8677,13557162.85,9397977.41
Sucursal Centro,Coca Cola,2020,2,9550,17608816.95,13615051.94
Sucursal Centro,Fanta,2020,2,1826,3133927.09,1923736.48
Sucursal Centro,Sprite,2020,2,8254,15513857.89,9419010.78
Sucursal Centro,7 Up,2020,2,1090,1660226.97,1256512.44
Sucursal Centro,Pepsi,2020,2,8664,13624533.54,9955879.32
Sucursal Sur,Coca Cola,2020,2,10844,20592870.2,12546216.41
Sucursal Sur,Fanta,2020,2,2141,3764067.24,2836294.19
Sucursal Sur,Sprite,2020,2,7549,15408405.29,9862789.91
Sucursal Sur,7 Up,2020,2,1012,1626845.59,1185033.55
Sucursal Sur,Pepsi,2020,2,8232,15101202.35,10732388.61
Sucursal Norte,Coca Cola,2020,3,9112,18621628.93,11274989.29
Sucursal Norte,Fanta,2020,3,1914,3112672.97,2304510.36
Sucursal Norte,Sprite,2020,3,7759,14185387.03,9659747.44
Sucursal Norte,7 Up,2020,3,945,1456408.65,1048463.35
Sucursal Norte,Pepsi,2020,3,8046,12957751.73,9760272.51
Sucursal Centro,Coca Cola,2020,3,9051,16583122.64,11819490.78
Sucursal Centro,Fanta,2020,3,2197,4288650.41,2967559.45
Sucursal Centro,Sprite,2020,3,8240,16990097.22,10558190.88
Sucursal Centro,7 Up,2020,3,1059,1591312.11,1105257.79
Sucursal Centro,Pepsi,2020,3,7896,14183074.04,11271971.26
Sucursal Sur,Coca Cola,2020,3,10656,19446741.16,13024505.95
Sucursal Sur,Fanta,2020,3,1910,3309058.12,2407942.6
Sucursal Sur,Sprite,2020,3,8481,14832247.01,10308181.41
Sucursal Sur,7 Up,2020,3,931,1447940.19,1108511.8
Sucursal Sur,Pepsi,2020,3,8158,14669119.94,9925343.57
Sucursal Norte,Coca Cola,2020,4,9576,18190112.68,11172590.0
Sucursal Norte,Fanta,2020,4,2013,3293647.5,2177597.2
Sucursal Norte,Sprite,2020,4,7266,13721197.76,9846682.56
Sucursal Norte,7 Up,2020,4,1089,1671777.08,1112951.4
Sucursal Norte,Pepsi,2020,4,8673,14411449.71,9972442.73
Sucursal Centro,Coca Cola,2020,4,10202,22412489.87,15528094.96
Sucursal Centro,Fanta,2020,4,2037,3503355.74,2460215.92
Sucursal Centro,Sprite,2020,4,8145,16219719.95,12755135.49
Sucursal Centro,7 Up,2020,4,928,1439592.18,923933.72
Sucursal Centro,Pepsi,2020,4,7680,13956530.12,9463713.58
Sucursal Sur,Coca Cola,2020,4,10169,18566042.21,13614148.72
Sucursal Sur,Fanta,2020,4,1847,3602219.03,2202091.29
Sucursal Sur,Sprite,2020,4,8288,16806915.47,12286287.13
Sucursal Sur,7 Up,2020,4,946,1457434.15,881590.29
Sucursal Sur,Pepsi,2020,4,7616,14151295.66,9204180.84
Sucursal Norte,Coca Cola,2020,5,9540,17990693.6,14197665.05
Sucursal Norte,Fanta,2020,5,1959,3180913.44,2206990.7
Sucursal Norte,Sprite,2020,5,8174,15812472.79,11985210.63
Sucursal Norte,7 Up,2020,5,985,1594785.37,1180725.46
Sucursal Norte,Pepsi,2020,5,7428,12210572.85,8562658.15
Sucursal Centro,Coca Cola,2020,5,9463,17202342.41,13645467.66
Sucursal Centro,Fanta,2020,5,1992,3658811.09,2809355.88
Sucursal Centro,Sprite,2020,5,8739,16897372.86,10701487.31
Sucursal Centro,7 Up,2020,5,1011,1536865.98,1210677.04
Sucursal Centro,Pepsi,2020,5,8582,15314464.68,9251225.02
Sucursal Sur,Coca Cola,2020,5,9023,18073190.45,12167691.1
Sucursal Sur,Fanta,2020,5,1972,3222997.81,2066951.58
Sucursal Sur,Sprite,2020,5,8050,15959677.9,10630038.84
Sucursal Sur,7 Up,2020,5,1073,1729265.26,1354916.04
Sucursal Sur,Pepsi,2020,5,7938,13251505.43,8753685.17
Sucursal Norte,Coca Cola,2020,6,10296,22629669.32,17044238.75
Sucursal Norte,Fanta,2020,6,1852,3129180.13,2245690.33
Sucursal Norte,Sprite,2020,6,7888,13727279.8,9414114.79
Sucursal Norte,7 Up,2020,6,1036,1480281.35,1140530.02
Sucursal Norte,Pepsi,2020,6,7479,12287329.33,8986199.28
Sucursal Centro,Coca Cola,2020,6,9343,17738007.82,12658579.25
Sucursal Centro,Fanta,2020,6,1814,3330750.67,2250613.09
Sucursal Centro,Sprite,2020,6,8437,16079669.18,12139152.32
Sucursal Centro,7 Up,2020,6,1094,1647995.42,1165295.71
Sucursal Centro,Pepsi,2020,6,8000,14035177.07,9958034.41
Sucursal Sur,Coca Cola,2020,6,9345,19167429.29,14792082.7
Sucursal Sur,Fanta,2020,6,2190,4212168.23,3251044.87
Sucursal Sur,Sprite,2020,6,8277,16047725.09,12395699.74
Sucursal Sur,7 Up,2020,6,1039,1686966.13,1055122.3
Sucursal Sur,Pepsi,2020,6,7318,12291990.47,8029133.22
Sucursal Norte,Coca Cola,2020,7,10125,18847060.0,12626071.98
Sucursal Norte,Fanta,2020,7,2196,4247640.61,2767475.42
Sucursal Norte,Sprite,2020,7,8285,14480075.13,8761571.14
Sucursal Norte,7 Up,2020,7,938,1315437.71,834242.04
Sucursal Norte,Pepsi,2020,7,8117,13119776.59,10016077.35
